date,read,recall,recite,pain
2014-01-01,04,nan,nan,0
2014-01-04,10,nan,nan,0
2014-01-04,nan,nan,nan,0
2014-01-04,24,nan,nan,0
2014-01-06,32,nan,nan,0
2014-01-17,52,nan,nan,25
2014-01-19,52,4,nan,33
2014-01-23,52,10,nan,0
2014-01-28,52,nan,nan,0
2014-01-28,52,24,24,98
2014-03-24,58,52,52,33
2014-03-28,58,58,58,208
2014-04-22,nan,64,58,125
2014-05-07,nan,70,58,137
2014-05-18,nan,74,58,41
2014-05-23,nan,80,58,37
2014-05-26,nan,84,58,50
2014-05-30,nan,88,58,56
2014-06-08,nan,96,58,37
2014-06-11,nan,100,58,100
2014-06-19,nan,104,58,50
2014-06-21,nan,106,58,0
2014-07-11,nan,106,58,62
2014-07-21,nan,114,58,0
2014-07-29,nan,114,58,191
2014-08-21,nan,120,58,150
2014-08-27,nan,122,58,0
2014-10-20,nan,122,84,18
2014-10-23,nan,130,84,8
2014-10-24,nan,136,84,0
2014-11-01,nan,136,106,12
2014-11-04,nan,148,106,0
2014-11-13,nan,148,130,0
2014-11-17,nan,162,130,0
2014-11-21,nan,162,162,0

# 324 days.

# =(1/((B3-B2)/(A3-A2)))*$E$2
# E2: 50
